s,p,o
http://edukb.org/knowledge/0.1/class/physics#zuobiaoxi-fbe37f3713954e7d566639e4617e501b,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://edukb.org/knowledge/0.1/instance/physics#bodongxingyulizixingdetongyi-d1c4a184d5d918a118136909db567a56,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
http://edukb.org/knowledge/0.1/instance/physics#buquedingguanxi-be3a48d25f00aa5c00380123e28af59e,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
http://edukb.org/knowledge/0.1/instance/physics#gailu:bo-7b137c5c4affa617fb725a77403aa94f,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
http://edukb.org/knowledge/0.1/instance/physics#guangdebolierxiangxing-e357d9fc36a5e6897777b90db83b8514,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
http://edukb.org/knowledge/0.1/instance/physics#guangdianxiaoying-273c894aba69b7041a8d5355be01083a,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
http://edukb.org/knowledge/0.1/instance/physics#guangdianxiaoyingfangcheng-60d3bae3e874b4fe035c099c526255a8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
http://edukb.org/knowledge/0.1/instance/physics#guangzidenengliang-53d7ad9ae4bb6e89cdf6e2cf01f231e1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
http://edukb.org/knowledge/0.1/instance/physics#guangzishuo-3d4e41fde7ddf523d8afdb04daca9e9f,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
http://edukb.org/knowledge/0.1/instance/physics#guangzishuoduiguangdianxiaoyingguilu:dejieshi-d82da3d5624fb3f0c9661c351e59a1fa,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/physics#bolierxiangxing-6065e8ec286f9cbdc02d4a6de6635d00
