s,p,o
http://edukb.org/knowledge/0.1/category/math#77,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#8,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#80,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#81,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#83,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#84,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#87,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#92,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#94,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#95,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#96,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#97,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/category/math#98,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#1
http://edukb.org/knowledge/0.1/instance/math#549,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/instance/math#550,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/instance/math#551,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/statement/math#1024,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/statement/math#1106,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/statement/math#1147,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/statement/math#1203,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
http://edukb.org/knowledge/0.1/statement/math#1214,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://edukb.org/knowledge/0.1/class/math#11
